"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT5G11790",586.060631507673,1.33722785419118,0.275222073815394,4.85872312366968,1.18145214873416e-06,3.58914683524604e-05,"AT5G11790","NDL2",NA
"AT3G14415",7861.96418938919,1.0256137538522,0.211207213023286,4.85595988494544,1.1980495576083e-06,3.63436890797319e-05,"AT3G14415","GOX2",NA
"AT3G49580",27.1733134532241,4.06483640623525,0.838403009283566,4.84830846409859,1.24518675927647e-06,3.76124336176896e-05,"AT3G49580","LSU1",NA
"AT3G51240",625.621925087528,3.29979425548478,0.680704064024943,4.84761944268907,1.24951802350324e-06,3.76735258609965e-05,"AT3G51240","F3'H;F3H;TT6","Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis."
"AT5G52030",142.713748855656,1.2352762151182,0.2548315455298,4.8474226868186,1.25075751033683e-06,3.76735258609965e-05,"AT5G52030","TRB3",NA
"AT1G67740",12259.8897816864,1.06421290130613,0.219622972659512,4.8456356291835,1.26206957975957e-06,3.79604072608986e-05,"AT1G67740","PSBY;YCF32","PsbY precursor (psbY) mRNA. This single nuclear gene is imported into the chloroplasts where it is processed into two integral membrane proteins with identical topology (PsbY-1 and PsbY-2). The protein appears to bind manganese but its role is not well understood."
"AT3G26590",142.763310737496,1.41159465078486,0.292223769556566,4.83052645897654,1.36172516482536e-06,4.05557277350161e-05,"AT3G26590",NA,NA
"AT5G54590",110.239876268676,1.19720380765223,0.247838916729341,4.83057230660699,1.36141162102811e-06,4.05557277350161e-05,"AT5G54590","CRLK1",NA
"AT1G03310",454.156801619917,2.00426682275191,0.414980013558005,4.82979121227427,1.36676288348584e-06,4.06487532644563e-05,"AT1G03310","AtBE2;ATISA2;BE2;DBE1;ISA2","Encodes a protein with strong similarity to isoamylase (EC:3.2.1.68) however lacks critical residues known to be important for activity. Appears to co localize with ISA1 in the chloroplast isoamylase complex.  Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. It has been postulated that AtISA2 interacts with AtISA1 to form the Iso1 complex."
"AT2G28410",86.6651525419191,1.73316531567819,0.358953633764995,4.82838214367508,1.37646758925087e-06,4.07157107218934e-05,"AT2G28410",NA,NA
"AT2G32640",339.042465007806,1.15788827479468,0.239808718431228,4.82838273090866,1.37646353101601e-06,4.07157107218934e-05,"AT2G32640","LCYB",NA
"AT3G19450",1961.68668957498,1.67236659919446,0.346682131778316,4.82391922138014,1.40764445304034e-06,4.15734769962611e-05,"AT3G19450","ATCAD4;CAD;CAD-C;CAD4","Encodes a catalytically active cinnamyl alcohol dehydrogenase which uses p-coumaryl aldehyde as a preferred substrate. It can also use caffeyl, coniferyl and  d-hydroxyconiferyl aldehydes as substrates."
"AT2G20560",171.580764941514,2.97748852405326,0.617615438325671,4.82094251420448,1.42881530651873e-06,4.20816824326286e-05,"AT2G20560","DNAJ",NA
"AT5G59770",226.43835701399,1.07303830776228,0.222933877125129,4.81325818040658,1.48489252500325e-06,4.36122998180415e-05,"AT5G59770",NA,NA
"AT5G65840",692.714979205158,1.09663770743642,0.228062091188616,4.80850500721517,1.5206322077044e-06,4.45514111216752e-05,"AT5G65840",NA,NA
"AT1G45010",112.057669342427,1.9684092125227,0.409452973121513,4.80741218586421,1.52896542923948e-06,4.47211857987608e-05,"AT1G45010",NA,NA
"AT1G29025",52.3953263766281,1.37018529255593,0.285249468053053,4.80346309463089,1.55944643076378e-06,4.5487424391853e-05,"AT1G29025",NA,NA
"AT5G44390",39.4953910525296,2.1185777782242,0.441167362374065,4.80220877361244,1.56924952968277e-06,4.57105812932973e-05,"AT5G44390","AtBBE25",NA
"AT3G57540",61.2564836544065,1.48270807879826,0.309320131668719,4.79344189723235,1.63943956233111e-06,4.76897248028783e-05,"AT3G57540","AtREM4.1;REM4.1",NA
"AT3G28080",153.26970403593,2.05889835181643,0.42990001305288,4.78924933543367,1.67406369219313e-06,4.86302907027648e-05,"AT3G28080","UMAMIT47",NA
"AT5G25120",196.972975397988,1.58195689145452,0.330358795647776,4.78860230844643,1.67946935488034e-06,4.87206717908252e-05,"AT5G25120","CYP71B11","putative cytochrome P450"
"AT3G05030",180.0817681927,1.794786717103,0.375071620344796,4.78518400153306,1.7083075927392e-06,4.94896476559577e-05,"AT3G05030","ATNHX2;NHX2","member of Sodium proton exchanger family"
"AT1G17140",367.629906212555,1.15867400532359,0.242444865791515,4.77912370526322,1.76060849490054e-06,5.09353152441594e-05,"AT1G17140","ICR1;RIP1","Encodes a ROP/RAC effector, designated interactor of constitutive active ROPs 1 (ICR1), that interacts with GTP-bound ROPs. ICR1 is a scaffold mediating formation of protein complexes that are required for cell polarity.  ICR1 is comprised of coiled-coil domains and forms complexes with itself and the exocyst vesicle-tethering complex subunit SEC3."
"AT4G00430",2106.08160622212,1.22563166712606,0.256525689421144,4.77781258435258,1.77212434426418e-06,5.11291582207198e-05,"AT4G00430","PIP1;4;PIP1E;TMP-C","a member of the plasma membrane intrinsic protein subfamily PIP1."
"AT5G13180",845.252289505028,1.13827463944205,0.238385759359169,4.77492717057416,1.79772301646691e-06,5.17973517702509e-05,"AT5G13180","ANAC083;NAC083;VNI2","Encodes a NAC domain transcription factor that interacts with VND7 and negatively regulates xylem vessel formation."
"AT1G70550",105.86852235172,1.50373675428758,0.314977312655033,4.77411132126362,1.80502522751401e-06,5.19372773797562e-05,"AT1G70550",NA,NA
"AT4G16983",576.330401665418,1.55210415139492,0.325408057591191,4.76971640740632,1.84485456219958e-06,5.29398467950109e-05,"AT4G16983",NA,NA
"AT4G33010",20603.296360058,2.05611629453553,0.431171012887385,4.76867932462927,1.85437563743042e-06,5.3141250554433e-05,"AT4G33010","AtGLDP1;GLDP1",NA
"AT4G33666",446.583821228498,2.30396763152896,0.483512791804328,4.76506034707217,1.88797135437352e-06,5.39425018099303e-05,"AT4G33666",NA,NA
"AT5G43850",930.404854925314,1.49016072056183,0.312743236007618,4.76480559447027,1.89035817873332e-06,5.39425018099303e-05,"AT5G43850","ARD4;ATARD4",NA
"AT3G21890",30.8193034471467,6.78686118815912,1.42623135163864,4.75859767096096,1.94942558376681e-06,5.52684275985156e-05,"AT3G21890","BBX31;miP1a",NA
"AT2G01520",1535.76944450926,1.35839649171053,0.285592027037427,4.75642301993433,1.97053331386626e-06,5.56439826063165e-05,"AT2G01520","MLP328;ZCE1",NA
"AT1G73650",506.751708596576,1.1817533674865,0.248640078263873,4.75286758167904,2.00551703881206e-06,5.64816370280824e-05,"AT1G73650",NA,NA
