"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G47400",22.6465113677176,3.24968294879775,1.15958283878438,2.80245864297584,0.00507147182936609,0.0261644650640578,"AT1G47400","FEP3;IMA1",NA
"AT4G04940",113.865569879996,1.39780697853518,0.498845070309457,2.8020863825878,0.00507732765292496,0.0261817455033379,"AT4G04940",NA,NA
"AT5G47130",9.01768220802585,2.80204056498803,1.00016724784663,2.80157200810249,0.00508542905282376,0.0262170043988143,"AT5G47130",NA,NA
"AT4G37150",96.897403615102,1.17948576738671,0.42142136643376,2.7988276374499,0.005128850709902,0.0263687752111318,"AT4G37150","ATMES9;MES9","Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES9 appears to be involved in MeSA hydrolysis in planta. Expression of MES9 can restore systemic acquired resistance in SAR-deficient tobacco plants. This protein does not act on MeGA4, or MEGA9 in vitro."
"AT1G72970",613.411912312866,1.24162045634971,0.443876889242257,2.79721807204083,0.00515447300631239,0.026480817859324,"AT1G72970","EDA17;HTH","Originally identified as a mutation that causes floral organs to fuse together. About 10-20% of mutants also have defects in ovules. Mutants have reduced fertility most likely as because of fusions that pistil emergence. The protein has similarity to the mandelonitrile lyase family of FAD containing oxidoreductases and is predicted to be secreted (SignalP).It is expressed in all tissue layers of roots, inflorescences, stems, leaves, and flowers and is also expressed in siliques. Expression is highest in inflorescence and flower tissue.Transmission of mutant alleles to the progeny shows non mendelian segregation- a percentage of mutant alleles revert back to a previous parental (e.g. grandparental) wild type allele. It has been suggested that an RNA template driven or other extra-DNA genomic mechanism may be responsible for the non-mendelian inheritance of HTH. Reversion events in alleles at other loci have also been observed to occur in plants with an hth mutant background indicating a genome wide effect."
"AT1G09170",16.2357846096563,1.38935709767797,0.496999907139725,2.7954876403777,0.0051821483257952,0.0265769263334045,"AT1G09170",NA,NA
"AT1G68880",16.266302364074,1.128246944508,0.403811632448558,2.79399317366552,0.00520615776414831,0.0266934609039191,"AT1G68880","AtbZIP;bZIP",NA
"AT1G74290",7.13800775884775,3.47655863566038,1.24492313560093,2.79258898500769,0.00522880837060056,0.0267434984339518,"AT1G74290",NA,NA
"AT5G11160",75.1412419759735,1.04153796016869,0.373180584825289,2.79097574343612,0.00525494102952264,0.0268572928448995,"AT5G11160","APT5",NA
"AT3G23290",26.4861928414292,1.52122853681372,0.545701723464951,2.78765573096349,0.00530909300417694,0.0270673714356477,"AT3G23290","LSH4",NA
"AT4G11900",203.170194187722,1.29962972318925,0.466523143536771,2.78577760009202,0.0053399494941074,0.0272046297286979,"AT4G11900",NA,NA
"AT5G66460",75.9900981211459,1.03914448195352,0.373276534662375,2.78384625193067,0.00537184912799543,0.0273402870854429,"AT5G66460","AtMAN7;MAN7",NA
